2015/11/10 13:34:14: 自动发送任务成功,任务号:16831  起止:5211-->0020660091
2015/11/10 13:35:25: 自动发送任务成功,任务号:16846  起止:5211-->0020700091
2015/11/10 13:36:37: 自动发送任务成功,任务号:16873  起止:5211-->0010660081
2015/11/10 13:37:52: 自动发送任务成功,任务号:16879  起止:5211-->0020760091
2015/11/10 13:39:02: 自动发送任务成功,任务号:16897  起止:5211-->0010820081
2015/11/10 13:40:13: 自动发送任务成功,任务号:16916  起止:5211-->0020850091
2015/11/10 13:41:18: 自动发送任务成功,任务号:16926  起止:5211-->0020630101
2015/11/10 13:42:28: 自动发送任务成功,任务号:16944  起止:5211-->0010880081
2015/11/10 13:43:41: 自动发送任务成功,任务号:16964  起止:5211-->0020670101
2015/11/10 13:44:35: 自动发送任务成功,任务号:16972  起止:5211-->0020710101
2015/11/10 13:45:30: 自动发送任务成功,任务号:16997  起止:5211-->0010660091
2015/11/10 13:46:41: 自动发送任务成功,任务号:17004  起止:5211-->0020780101
2015/11/10 13:47:34: 自动发送任务成功,任务号:17009  起止:5211-->0010710091
2015/11/10 13:48:46: 自动发送任务成功,任务号:17031  起止:5211-->0010800091
2015/11/10 13:49:58: 自动发送任务成功,任务号:17047  起止:5211-->0010840091
2015/11/10 13:51:03: 自动发送任务成功,任务号:17056  起止:5211-->0010890091
2015/11/10 13:52:13: 自动发送任务成功,任务号:17086  起止:0010080071-->5145
2015/11/10 13:53:21: 自动发送任务成功,任务号:17077  起止:5211-->0010670101
2015/11/10 13:54:29: 自动发送任务成功,任务号:17116  起止:0020730051-->5145
2015/11/10 13:55:59: 自动发送任务成功,任务号:17092  起止:5211-->0010710101
2015/11/10 13:57:02: 自动发送任务成功,任务号:17145  起止:5211-->0020830101
2015/11/10 13:57:56: 自动发送任务成功,任务号:17205  起止:5211-->0020730051
2015/11/10 13:59:08: 自动发送任务成功,任务号:17226  起止:5211-->0020870101
2015/11/10 14:00:02: 自动发送任务成功,任务号:17242  起止:5211-->0020900101
2015/11/10 14:00:46: 自动发送任务成功,任务号:17266  起止:5211-->0010760101
2015/11/10 14:01:50: 自动发送任务成功,任务号:17278  起止:5211-->0020610111
2015/11/10 14:02:44: 自动发送任务成功,任务号:17287  起止:5211-->0020630111
2015/11/10 14:03:39: 自动发送任务成功,任务号:17308  起止:5211-->0020650111
2015/11/10 14:04:33: 自动发送任务成功,任务号:17322  起止:5211-->0010790101
2015/11/10 14:05:26: 自动发送任务成功,任务号:17346  起止:5211-->0020670111
2015/11/10 14:06:19: 自动发送任务成功,任务号:17355  起止:5211-->0020690111
2015/11/10 14:07:14: 自动发送任务成功,任务号:17367  起止:5211-->0010820101
2015/11/10 14:08:08: 自动发送任务成功,任务号:17385  起止:5211-->0020710111
2015/11/10 14:09:02: 自动发送任务成功,任务号:17398  起止:5211-->0010840101
2015/11/10 14:10:14: 自动发送任务成功,任务号:17421  起止:0020300161-->5145
2015/11/10 14:11:18: 自动发送任务成功,任务号:17414  起止:5211-->0010870101
2015/11/10 14:12:02: 自动发送任务成功,任务号:17424  起止:5211-->0010900101
2015/11/10 14:12:46: 自动发送任务成功,任务号:17487  起止:0010670031-->5145
2015/11/10 14:13:40: 自动发送任务成功,任务号:17472  起止:5211-->0010620111
2015/11/10 14:14:44: 自动发送任务成功,任务号:17518  起止:0010570191-->5145
2015/11/10 14:15:35: 自动发送任务成功,任务号:17486  起止:5211-->0010660111
2015/11/10 14:16:41: 自动发送任务成功,任务号:17557  起止:0020370051-->5145
2015/11/10 14:17:39: 自动发送任务成功,任务号:17513  起止:5211-->0020730111
2015/11/10 14:18:29: 自动发送任务成功,任务号:17551  起止:5211-->0020750111
2015/11/10 14:19:23: 自动发送任务成功,任务号:17597  起止:5211-->0010670031
2015/11/10 14:20:35: 自动发送任务成功,任务号:17616  起止:5211-->0020770111
2015/11/10 14:21:29: 自动发送任务成功,任务号:17640  起止:0010160181-->5145
2015/11/10 14:22:39: 自动发送任务成功,任务号:17633  起止:5211-->0010720111
2015/11/10 14:23:26: 自动发送任务成功,任务号:17639  起止:5211-->0020790111
2015/11/10 14:24:19: 自动发送任务成功,任务号:17682  起止:5211-->0010740111
2015/11/10 14:25:13: 自动发送任务成功,任务号:17714  起止:0020490071-->5145
