2015/11/29 13:25:34: Break:  连接失败！
2015/11/29 14:41:13: 任务号:82,224; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:41:14: 任务号:82,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:41:15: 任务号:82,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:16: 任务号:82,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:17: 任务号:82,224; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:19: 任务号:82,224; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:41:23: 任务号:82,224; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:41:28: 任务号:82,224; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:41:29: 任务号:82,224; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:30: 任务号:82,224; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:49: 任务号:82,225; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:51: 任务号:82,225; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:41:52: 任务号:82,225; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:41:54: 任务号:82,225; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:1
2015/11/29 14:41:56: 任务号:82,225; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:2
2015/11/29 14:42:02: 任务号:82,225; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:1
2015/11/29 14:42:26: 任务号:82,225; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:42:26: 任务号:82,225; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:42:29: 任务号:82,225; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:42:30: 任务号:82,225; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:42:32: 任务号:82,225; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:42:33: 任务号:82,225; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:42:36: 任务号:82,225; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:42:41: 任务号:82,225; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:42:42: 任务号:82,225; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
